id,name,new
887,제피가루,초피
888,다크커버춰초콜렛,초콜릿
890,구운소금,소금
891,총각무,
892,말차가루,말차
893,바닐라익스트랙,
894,바닐라빈,
895,분당,슈가파우더
897,우거지,
902,아이스크림,
903,바질페스토,
904,사워크림,
905,소고기국거리,소고기
907,무염버터,버터
909,쫄면,
910,동태포,
911,초콜릿칩,초콜릿
912,카카오닙,카카오닙스
913,스프링클,
914,땅콩분태,땅콩
916,팥앙금,
917,팥배기,
918,레몬주스,레몬즙
920,버섯,
921,실곤약,
923,돼지고기다짐육,다진돼지고기
924,도토리가루,
929,파스타면,
931,샐러드채소,채소
932,묵은지,김치
934,갓,
935,사과식초,
938,소고기불고기,소불고기
939,돼지고기등뼈,돼지등뼈
945,조개,
946,훈제오리,훈제오리고기
947,매실청,
948,액젓,
949,베이킹소다,
951,실치,
953,황기,
955,타르타르소스,
958,유채나물,
959,식용색소,
960,레몬제스트,
962,김치,
963,호박고지,
964,한천,
965,밤호박,호박
966,피조개,
967,소고기살치살,살치살
968,사과즙,
969,생강술,
970,노추소스,
972,대패삼겹살,
974,미니새송이버섯,새송이버섯
975,조미김,김
981,떡볶이떡,
982,황태채,
983,만두,
984,시판치킨,치킨
985,고춧잎,
986,무청,
987,돈까스,
988,사골곰탕,곰탕
989,유자청,
990,다시마육수,
991,치아바타,
993,꼬시래기,
994,크래커,
995,분모자당면,
998,양파가루,
999,마늘가루,
1000,꼬투리강낭콩,강낭콩
1002,김치용 풀,쌀풀
1005,물,
1006,멸치가루,
1007,누텔라,
1008,즉석밥,밥
1009,돌나물,
1010,닭육수,
1011,푸실리,
1012,홀토마토,토마토
1013,칼국수,
1014,열무김치,
1015,콩가루,
1016,풋마늘,
1017,스리라차소스,
1018,갓김치,
1019,자일로스설탕,설탕
1020,돈까스소스,
1021,오이지,
1022,발사믹크림,
1023,호박잎,
1025,조랭이떡,
1026,육수,삭제
1028,만능간장,간장
1029,천연조미료,MSG
1030,채소,
1031,양념장,삭제
1032,시럽,
1033,원당,
1034,불고기,
1035,쌈채소,채소
1036,잡채,
1037,과일,
1038,해물,
1039,짜장가루,
1041,빵,
1042,다짐육,다진고기
1043,샬롯,
1044,오뚜기,삭제
1046,뉴슈가,설탕
1047,오레오,
1048,분홍소시지,소시지
1049,불닭소스,
1050,핫도그번,핫도그빵
1051,엿기름,
1052,허브시즈닝,허브
1054,떡갈비,
1055,연두,MSG
1056,시리얼,
1057,와인,
1058,만개한알,멸치육수
1060,동그랑땡,
1061,마시멜로,
1062,카스테라,
1063,현미유,
1067,고추장아찌,
1068,콩물,
1070,연두청양초,MSG
1071,딜,
1072,아보카도오일,아보카도유
1073,바베큐소스,
1075,초코펜,초콜릿
1076,잼,
1078,양파청,
1079,잡곡밥,
1080,다시마간장,간장
1082,소스,삭제
1084,미트볼,
1085,꽃빵,
1086,햄버거빵,
1087,쌍화탕,
1090,감태,
1093,엄나무,
1095,스테비아,설탕
1098,마라소스,
1104,우삼겹,
1105,공심채,
1106,단촛물,
1109,밀크초콜릿,초콜릿
1111,잡곡,
1112,중화면,
1116,중면,
1119,생면,
1120,소금물,소금
1121,젤리,
1128,감자튀김,
1133,크림소스,
1134,까르보나라소스,
1137,구운김,김
1138,김밥용김,김
1140,김자반,
1141,버섯가루,
1142,김가루,김
1144,국시장국멸치다시마,쯔유
1145,파김치,
1148,김밥,
1149,피자도우,
1152,페파로니,페퍼로니
1157,식용꽃,
1158,다오네장아찌원액,간장
1160,무생채,
1161,냉면육수,냉면
1174,장조림,
